,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
171,[1.77562541],[0.],[1.04270717],[1.05262243],[1.17331373],[1.81880381]
172,[1.51571174],[0.],[0.89007725],[0.89854099],[1.00156522],[1.55256912]
173,[1.24384982],[0.],[0.73043078],[0.73737648],[0.82192234],[1.27409587]
174,[0.95078448],[0.],[0.55833322],[0.56364163],[0.62826883],[0.97390598]
175,[0.84984682],[0.],[0.49905936],[0.50380445],[0.56156976],[0.8705137]
176,[0.69679958],[0.],[0.40918435],[0.41307494],[0.4604377],[0.71374435]
177,[0.61793712],[0.],[0.36287309],[0.3663239],[0.40832554],[0.63296294]
178,[0.53842061],[0.],[0.31617907],[0.31918493],[0.35578224],[0.5515128]
179,[0.82041034],[0.],[0.48177331],[0.48635424],[0.54211853],[0.84036096]
180,[0.6763824],[0.],[0.39719462],[0.40097203],[0.44694634],[0.69283037]
181,[0.61356355],[0.],[0.36030528],[0.3637319],[0.40543632],[0.6284831]
182,[0.7831728],[0.],[0.45990634],[0.4642799],[0.51751267],[0.80221882]
183,[0.65691648],[0.],[0.3857639],[0.38943245],[0.43408397],[0.67289098]
184,[0.56283379],[0.],[0.33051542],[0.33365866],[0.37191485],[0.57652128]
185,[0.5202697],[0.],[0.3055199],[0.30842554],[0.34378819],[0.53292125]
186,[0.47276006],[0.],[0.27762048],[0.28026],[0.31239475],[0.48425558]
187,[0.42120086],[0.],[0.24734333],[0.249696],[0.2783255],[0.43144358]
188,[0.36606038],[0.],[0.21496234],[0.21700656],[0.24188803],[0.37496131]
189,[0.31353523],[0.],[0.1841184],[0.185868],[0.20718029],[0.3211583]
190,[0.28004141],[0.],[0.16444944],[0.16601328],[0.18504806],[0.28685146]
191,[0.25829971],[0.],[0.15168211],[0.15312413],[0.17068147],[0.26458099]
192,[0.23289034],[0.],[0.1367617],[0.13806202],[0.15389222],[0.23855472]
193,[0.21190896],[0.],[0.12444019],[0.12562301],[0.14002675],[0.21706186]
194,[0.18944842],[0.],[0.11125123],[0.11230877],[0.12518582],[0.19405699]
195,[0.16391894],[0.],[0.0962591],[0.09717408],[0.10831622],[0.1679063]
196,[0.14855789],[0.],[0.08723808],[0.08806838],[0.09816509],[0.15217027]
197,[0.13651114],[0.],[0.08016365],[0.08092656],[0.09020506],[0.13982976]
198,[0.12676781],[0.],[0.07444224],[0.07515072],[0.08376653],[0.12985142]
199,[0.11184912],[0.],[0.06568128],[0.06630595],[0.07390915],[0.11456899]
200,[0.10410682],[0.],[0.06113578],[0.06171725],[0.06879341],[0.10664006]
201,[0.09229766],[0.],[0.05420045],[0.05471539],[0.0609889],[0.09454147]
