,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
125,[0.05085158],0,[0.02986157],[0.03014582],[0.03360182],[0.0520871]
126,[0.05088257],0,[0.02987976],[0.03016419],[0.0336223],[0.05211884]
127,[0.05107941],0,[0.02999536],[0.03028088],[0.03375237],[0.05232047]
128,[0.05159497],0,[0.03029811],[0.03058652],[0.03409305],[0.05284858]
129,[0.05243351],0,[0.03079053],[0.03108362],[0.03464715],[0.05370751]
130,[0.05350912],0,[0.03142217],[0.03172126],[0.0353579],[0.05480929]
131,[0.05474646],0,[0.03214878],[0.03245478],[0.03617553],[0.05607673]
132,[0.05608702],0,[0.032936],[0.03324949],[0.03706136],[0.0574499]
133,[0.05748892],0,[0.03375925],[0.03408056],[0.03798772],[0.05888591]
134,[0.05899541],0,[0.03464392],[0.03497363],[0.0389832],[0.06042905]
135,[0.06070894],0,[0.03565016],[0.03598945],[0.04011549],[0.06218426]
136,[0.06262652],0,[0.03677624],[0.03712622],[0.04138262],[0.06414849]
137,[0.0646652],0,[0.03797342],[0.03833479],[0.04272976],[0.06623676]
138,[0.06675549],0,[0.03920091],[0.03957395],[0.04411101],[0.06837791]
139,[0.06892347],0,[0.04047403],[0.04085917],[0.04554359],[0.07059862]
140,[0.07127555],0,[0.04185525],[0.04225353],[0.04709783],[0.07300792]
141,[0.07382016],0,[0.04334954],[0.04376202],[0.04877929],[0.07561443]
142,[0.07648043],0,[0.04491174],[0.04533908],[0.05053717],[0.07833941]
143,[0.07974723],0,[0.04683012],[0.0472757],[0.05269584],[0.08168566]
144,[0.08453715],0,[0.04964292],[0.05011525],[0.05586098],[0.08659208]
145,[0.09096009],0,[0.05341469],[0.05392288],[0.0601052],[0.09317123]
146,[0.0985234],0,[0.05785613],[0.05840655],[0.06510296],[0.10091847]
147,[0.10683164],0,[0.06273501],[0.06333182],[0.07059296],[0.10942876]
148,[0.11554915],0,[0.06785423],[0.06849972],[0.0763534],[0.11835827]
149,[0.12442914],0,[0.07306887],[0.07376394],[0.08222121],[0.12745422]
150,[0.13331211],0,[0.07828525],[0.07902992],[0.08809098],[0.13655321]
151,[0.1420295],0,[0.0834044],[0.08419774],[0.09385135],[0.1454826]
152,[0.14984979],0,[0.08799677],[0.08883375],[0.09901894],[0.15349312]
153,[0.15566558],0,[0.09141203],[0.09228146],[0.10286198],[0.15945037]
154,[0.15949939],0,[0.09366337],[0.09455422],[0.10539533],[0.16337742]
155,[0.16203383],0,[0.09515169],[0.09605667],[0.10707007],[0.16597354]
156,[0.16371891],0,[0.09614122],[0.09705557],[0.10818354],[0.16769962]
157,[0.16452461],0,[0.09661436],[0.09753322],[0.10871594],[0.16852496]
158,[0.15222038],0,[0.08938944],[0.09023875],[0.10058602],[0.15592176]
159,[0.13247366],0,[0.07779283],[0.07853242],[0.08753702],[0.13569466]
160,[0.13271442],0,[0.07793421],[0.07867514],[0.08769611],[0.13594127]
161,[0.13534379],0,[0.07947826],[0.08023388],[0.08943357],[0.13863457]
162,[0.14521422],0,[0.08527452],[0.08608525],[0.09595585],[0.14874503]
163,[0.16734616],0,[0.09827115],[0.09920546],[0.11058039],[0.17141515]
164,[0.20304875],0,[0.11923693],[0.1203706],[0.13417228],[0.20798594]
165,[0.24889878],0,[0.14616163],[0.14755132],[0.16446948],[0.25495092]
166,[0.30037397],0,[0.17638961],[0.17806673],[0.19848373],[0.30767784]
167,[0.35428607],0,[0.20804863],[0.21002679],[0.23410826],[0.36290094]
168,[0.40839127],0,[0.23982106],[0.24210134],[0.2698604],[0.41832184]
169,[0.46191047],0,[0.27124936],[0.27382848],[0.30522531],[0.47314249]
170,[0.51513922],0,[0.30250709],[0.30538344],[0.34039829],[0.52766561]
171,[0.56755793],0,[0.33328915],[0.3364582],[0.37503601],[0.58135901]
172,[0.61645423],0,[0.36200273],[0.36544482],[0.40734615],[0.63144434]
173,[0.65462056],0,[0.38441529],[0.38807051],[0.43256603],[0.67053874]
174,[0.67675539],0,[0.39741363],[0.40119244],[0.44719251],[0.69321185]
175,[0.6879334],0,[0.40397776],[0.40781897],[0.45457885],[0.70466175]
176,[0.69220289],0,[0.40648496],[0.41035001],[0.45740009],[0.70903512]
177,[0.61793712],0,[0.36287309],[0.3663239],[0.40832554],[0.63296294]
178,[0.53842061],0,[0.31617907],[0.31918493],[0.35578224],[0.5515128]
179,[0.53859685],0,[0.31628257],[0.31928941],[0.3558987],[0.55169333]
180,[0.53919418],0,[0.31663334],[0.31964352],[0.35629341],[0.55230519]
181,[0.540127],0,[0.31718113],[0.32019652],[0.35690981],[0.5532607]
182,[0.54129773],0,[0.31786862],[0.32089055],[0.35768342],[0.5544599]
183,[0.54277408],0,[0.31873558],[0.32176577],[0.35865898],[0.55597216]
184,[0.5440725],0,[0.31949806],[0.32253552],[0.35951698],[0.5573022]
185,[0.5202697],0,[0.3055199],[0.30842554],[0.34378819],[0.53292125]
186,[0.47276006],0,[0.27762048],[0.28026],[0.31239475],[0.48425558]
187,[0.42120086],0,[0.24734333],[0.249696],[0.2783255],[0.43144358]
188,[0.36606038],0,[0.21496234],[0.21700656],[0.24188803],[0.37496131]
189,[0.31353523],0,[0.1841184],[0.185868],[0.20718029],[0.3211583]
190,[0.28004141],0,[0.16444944],[0.16601328],[0.18504806],[0.28685146]
191,[0.25829971],0,[0.15168211],[0.15312413],[0.17068147],[0.26458099]
192,[0.23289034],0,[0.1367617],[0.13806202],[0.15389222],[0.23855472]
193,[0.21190896],0,[0.12444019],[0.12562301],[0.14002675],[0.21706186]
194,[0.18944842],0,[0.11125123],[0.11230877],[0.12518582],[0.19405699]
195,[0.16391894],0,[0.0962591],[0.09717408],[0.10831622],[0.1679063]
