,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
161,[2.9938498],0,[1.7580907],[1.7748077],[1.97830357],[3.06665249]
162,[5.13788362],0,[3.0171408],[3.0458298],[3.39505891],[5.26282401]
163,[6.62821381],0,[3.89231264],[3.92932387],[4.37985138],[6.78939278]
164,[4.50220723],0,[2.64384955],[2.66898903],[2.97500981],[4.6116884]
165,[2.98217559],0,[1.75123523],[1.76788826],[1.97058983],[3.05469464]
166,[1.88498857],0,[1.10692962],[1.11745552],[1.2455801],[1.93082687]
167,[1.06448926],0,[0.62510551],[0.63104895],[0.7034035],[1.0903764]
168,[0.49242642],0,[0.28917016],[0.29192026],[0.32539085],[0.50440174]
169,[1.25669585],0,[0.73797437],[0.74499187],[0.83041106],[1.2872547]
170,[0.71556403],0,[0.42020432],[0.4241997],[0.47283719],[0.7329656]
171,[0.20036925],0,[0.11766319],[0.11878249],[0.13240155],[0.20524193]
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,[0.27493998],0,[0.16145438],[0.16299008],[0.18167788],[0.28162696]
180,[0.12076575],0,[0.07091744],[0.07159292],[0.0798011],[0.12370328]
181,[0.05347908],0,[0.03140446],[0.03170415],[0.03533878],[0.05477953]
182,[0.21617415],0,[0.12694527],[0.12815324],[0.14284628],[0.22143288]
183,[0.08226553],0,[0.04830913],[0.04876931],[0.05436098],[0.08426659]
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,[0.0344828],0,[0.02024877],[0.02044084],[0.02278608],[0.03532015]
213,[0.02613824],0,[0.01534781],[0.01549405],[0.01727135],[0.02677198]
214,[0.15261835],0,[0.08962141],[0.09047385],[0.10084827],[0.15632802]
215,[0.12825737],0,[0.07531712],[0.07603259],[0.08475104],[0.13137636]
216,[0.10871401],0,[0.06383993],[0.06444718],[0.07183677],[0.11135694]
217,[0.09460749],0,[0.05555647],[0.0560845],[0.06251493],[0.09690767]
218,[0.08026365],0,[0.04713372],[0.04758144],[0.05303749],[0.08221547]
219,[0.06196168],0,[0.03638589],[0.03673203],[0.04094399],[0.06346884]
220,[0.04182184],0,[0.02455888],[0.02479253],[0.02763559],[0.04283834]
221,[0.02448078],0,[0.01437539],[0.01451142],[0.01617618],[0.02507496]
222,[0.01671803],0,[0.00981696],[0.00991081],[0.01104754],[0.01712413]
223,[0.00789955],0,[0.00463815],[0.00468267],[0.00522006],[0.00809075]
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,[0.00123833],0,[0.00072615],[0.00073373],[0.00081713],[0.00126781]
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,0,0
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,0,0,0,0,0,0
266,0,0,0,0,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,[0.00675184],0,[0.00396518],[0.00400308],[0.00446135],[0.0069161]
274,[0.00585068],0,[0.00343585],[0.00346934],[0.00386594],[0.00599241]
275,[0.00537787],0,[0.00315792],[0.00318805],[0.00355387],[0.00550831]
276,[0.00459764],0,[0.00270013],[0.00272622],[0.00303837],[0.00470892]
277,[0.00398699],0,[0.00234104],[0.00236415],[0.00263457],[0.00408344]
278,[0.00330411],0,[0.0019401],[0.00195868],[0.00218273],[0.00338394]
279,[0.00277246],0,[0.00162829],[0.00164425],[0.00183267],[0.00283903]
280,[0.00186725],0,[0.00109703],[0.00110714],[0.00123391],[0.00191196]
281,[0.00171576],0,[0.00100764],[0.00101725],[0.00113431],[0.0017574]
282,[0.00141179],0,[0.00082921],[0.0008375],[0.0009327],[0.00144629]
283,[0.0009596],0,[0.00056367],[0.00056817],[0.00063335],[0.00098226]
284,[0.00077346],0,[0.00045378],[0.0004589],[0.0005107],[0.00079162]
285,[0.00028579],0,[0.00016826],[0.00016975],[0.00018948],[0.00029293]
286,0,0,0,0,0,0
287,0,0,0,0,0,0
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,[0.00480926],0,[0.00282457],[0.00285152],[0.00317838],[0.00492636]
305,[0.00448203],0,[0.00263195],[0.00265672],[0.00296133],[0.00459159]
306,[0.00388559],0,[0.00228217],[0.00230317],[0.00256728],[0.0039804]
307,[0.00343606],0,[0.00201812],[0.00203723],[0.00227044],[0.00352024]
308,[0.00299806],0,[0.00176053],[0.00177699],[0.00198086],[0.00307044]
309,[0.00283131],0,[0.00166239],[0.00167888],[0.00187086],[0.00290092]
310,[0.00228792],0,[0.0013434],[0.00135653],[0.00151196],[0.00234394]
311,[0.00204295],0,[0.00120041],[0.00121205],[0.00135044],[0.00209364]
312,[0.0014261],0,[0.00083713],[0.00084566],[0.00094175],[0.00146077]
313,[0.00110039],0,[0.00064617],[0.00065258],[0.00072702],[0.00112659]
314,[0.00090806],0,[0.00053383],[0.00053908],[0.00060053],[0.00093127]
315,[0.00083064],0,[0.00048776],[0.00049275],[0.0005486],[0.00085101]
316,[0.00026767],0,[0.00015674],[0.00015811],[0.00017663],[0.00027353]
317,[3.69429553e-05],0,[2.17024341e-05],[2.21628368e-05],[2.45925687e-05],[3.83037913e-05]
318,0,0,0,0,0,0
319,0,0,0,0,0,0
320,0,0,0,0,0,0
321,0,0,0,0,0,0
322,0,0,0,0,0,0
323,0,0,0,0,0,0
324,0,0,0,0,0,0
325,0,0,0,0,0,0
326,0,0,0,0,0,0
327,0,0,0,0,0,0
328,0,0,0,0,0,0
329,0,0,0,0,0,0
330,0,0,[0.],0,0,0
331,0,0,0,0,0,0
332,0,0,0,0,0,0
333,0,0,0,0,0,0
334,0,0,0,0,0,0
335,[0.01759268],0,[0.01033035],[0.01042807],[0.01162428],[0.01801894]
336,[0.01599027],0,[0.00938926],[0.00947873],[0.01056627],[0.01637836]
337,[0.0138943],0,[0.00815911],[0.00823652],[0.00918207],[0.01423266]
338,[0.01194862],0,[0.00701574],[0.00708254],[0.00789489],[0.01223806]
339,[0.01103782],0,[0.00648131],[0.00654224],[0.00729376],[0.0113052]
340,[0.00977241],0,[0.00573857],[0.00579309],[0.00645817],[0.01001042]
341,[0.00794522],0,[0.00466569],[0.00470905],[0.0052499],[0.00813847]
342,[0.00733904],0,[0.00431025],[0.00435061],[0.00485009],[0.00751842]
343,[0.00637988],0,[0.00374599],[0.0037818],[0.00421587],[0.00653513]
344,[0.00573572],0,[0.00336831],[0.0033998],[0.00379111],[0.00587563]
345,[0.00539502],0,[0.00316788],[0.00319864],[0.00356533],[0.00552709]
346,[0.00387515],0,[0.00227575],[0.0022974],[0.00256067],[0.00397029]
347,[0.00272443],0,[0.00160009],[0.00161475],[0.00180084],[0.00279122]
348,[0.00159165],0,[0.00093461],[0.00094265],[0.00105119],[0.00162983]
349,[0.00145141],0,[0.0008525],[0.00086013],[0.00095904],[0.00148684]
350,[0.00068976],0,[0.00040553],[0.00040856],[0.00045619],[0.00070741]
351,[0.0003082],0,[0.00018139],[0.00018343],[0.00020425],[0.00031655]
352,[0.00018159],0,[0.00010661],[0.00010771],[0.00012075],[0.00018615]
353,0,0,0,0,0,0
354,0,0,0,0,0,0
355,0,0,0,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,0,0,0,0,0,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,0,0,0
363,0,0,0,0,0,0
364,0,0,0,0,0,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,0,0,0,0,0,0
369,0,0,0,0,0,0
370,0,0,0,0,0,0
371,0,0,0,0,0,0
372,0,0,0,0,0,0
373,0,0,0,0,0,0
374,0,0,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,0,0,0,0,0,0
378,0,0,0,0,0,0
379,[8.08704e-05],0,[4.71744e-05],[4.71744e-05],[5.30712e-05],[8.08704e-05]
380,0,0,0,0,0,0
381,[0.02780931],0,[0.01633077],[0.01648577],[0.01837611],[0.02848407]
382,[0.06119564],0,[0.03593569],[0.03627753],[0.04043714],[0.06268328]
383,[0.05310757],0,[0.03118629],[0.0314824],[0.03509201],[0.054397]
384,[0.04533799],0,[0.02662382],[0.02687733],[0.02995855],[0.0464391]
385,[0.04073511],0,[0.0239212],[0.02414856],[0.02691734],[0.04172557]
386,[0.03524789],0,[0.02069833],[0.02089494],[0.0232911],[0.03610374]
387,[0.03105348],0,[0.01823554],[0.01840969],[0.02051924],[0.03180758]
