Date,Simulated TDS,Threshold,Output
1959-10-16,159.4899901,170,0.094176
1959-10-17,159.5517644,170,0.094176
1959-10-18,159.6145754,170,0.094176
1959-10-19,159.624923,170,0.094176
1959-10-20,159.6427103,170,0.094176
1959-10-21,159.6696651,170,0.094176
1959-10-22,159.7045706,170,0.094176
1959-10-23,159.7481147,170,0.094176
1959-10-24,159.7998609,170,0.094176
1959-10-25,159.8574736,170,0.094176
1959-10-26,159.9201235,170,0.094176
1959-10-27,159.986758,170,0.094176
1959-10-28,160.0583567,170,0.094176
1959-10-29,160.1334113,170,0.094176
1959-10-30,160.2122034,170,0.094176
1959-10-31,160.292946,170,0.094176
1959-11-01,160.3338775,170,0.0901152
1959-11-02,160.3796887,170,0.0901152
1959-11-03,160.4310324,170,0.0901152
1959-11-04,160.4887307,170,0.0901152
1959-11-05,160.5534352,170,0.0901152
1959-11-06,160.6261645,170,0.0901152
1959-11-07,160.703855,170,0.0901152
1959-11-08,160.7141625,170,0.0901152
1959-11-09,160.5482573,170,0.0901152
1959-11-10,160.4082201,170,0.0901152
1959-11-11,160.3175572,170,0.0901152
1959-11-12,160.2673195,170,0.0901152
1959-11-13,160.2613616,170,0.0901152
1959-11-14,160.2844682,170,0.0901152
1959-11-15,160.33149,170,0.0901152
1959-11-16,160.3968721,170,0.0901152
1959-11-17,160.3031059,170,0.0901152
1959-11-18,160.2587373,170,0.0901152
1959-11-19,159.3793351,170,0.0901152
1959-11-20,158.9050166,170,0.0901152
1959-11-21,158.5441517,170,0.0901152
1959-11-22,158.2698864,170,0.0901152
1959-11-23,158.0854868,170,0.0901152
1959-11-24,157.9954147,170,0.0901152
1959-11-25,158.0002171,170,0.0901152
1959-11-26,158.0857711,170,0.0901152
1959-11-27,158.2214206,170,0.0901152
1959-11-28,158.395207,170,0.0901152
1959-11-29,158.6120082,170,0.0901152
1959-11-30,158.8571392,170,0.0901152
1959-12-01,158.8785821,170,0.0824256
1959-12-02,158.9759091,170,0.0824256
1959-12-03,159.1440683,170,0.0824256
1959-12-04,159.3526746,170,0.0824256
